customer_id,first_name,last_name,email,region,signup_date
33,Jordan,Nguyen,jordan.nguyen33@example.com,South,2024-04-12
34,Morgan,Davis,morgan.davis34@example.com,South,2024-04-01
35,Alex,Garcia,alex.garcia35@example.com,West,2022-01-05
36,Avery,Smith,avery.smith36@example.com,West,2023-08-08
37,Avery,Chen,avery.chen37@example.com,West,2022-11-14
38,Sam,Smith,sam.smith38@example.com,South,2022-04-30
39,Drew,Chen,drew.chen39@example.com,North,2023-10-05
40,Alex,Lee,alex.lee40@example.com,West,2024-10-26
41,Kai,Garcia,kai.garcia41@example.com,North,2024-11-06
42,Jordan,Garcia,jordan.garcia42@example.com,North,2022-05-20
43,Jamie,Nguyen,jamie.nguyen43@example.com,West,2022-09-03
44,Drew,Nguyen,drew.nguyen44@example.com,North,2022-06-17
45,Avery,Kim,avery.kim45@example.com,East,2023-06-19
46,Sam,Kim,sam.kim46@example.com,East,2023-05-04
47,Casey,Brown,casey.brown47@example.com,South,2023-09-07
48,Morgan,Johnson,morgan.johnson48@example.com,North,2022-01-20
49,Morgan,Lopez,morgan.lopez49@example.com,North,2022-05-31
50,Kai,Nguyen,kai.nguyen50@example.com,East,2022-09-29
51,Riley,Patel,riley.patel51@example.com,South,2024-01-27
52,Casey,Garcia,casey.garcia52@example.com,West,2023-09-12
53,Drew,Kim,drew.kim53@example.com,North,2023-09-06
54,Jamie,Patel,jamie.patel54@example.com,South,2023-06-26
55,Jordan,Patel,jordan.patel55@example.com,South,2023-07-12
56,Casey,Lopez,casey.lopez56@example.com,South,2023-12-04
57,Sam,Kim,sam.kim57@example.com,East,2024-11-01
58,Morgan,Smith,morgan.smith58@example.com,North,2022-07-09
59,Jamie,Brown,jamie.brown59@example.com,East,2022-04-01
60,Alex,Johnson,alex.johnson60@example.com,South,2023-06-21
61,Taylor,Chen,taylor.chen61@example.com,West,2024-05-25
62,Kai,Lee,kai.lee62@example.com,North,2022-06-04
63,Cameron,Garcia,cameron.garcia63@example.com,North,2024-01-27
64,Drew,Martinez,drew.martinez64@example.com,South,2024-05-30
65,Taylor,Lee,taylor.lee65@example.com,East,2024-01-17
66,Alex,Johnson,alex.johnson66@example.com,South,2023-05-27
67,Jamie,Patel,jamie.patel67@example.com,East,2024-04-12
68,Drew,Chen,drew.chen68@example.com,South,2023-04-30
69,Taylor,Garcia,taylor.garcia69@example.com,West,2022-02-20
70,Taylor,Chen,taylor.chen70@example.com,East,2024-04-23
71,Jamie,Chen,jamie.chen71@example.com,South,2023-07-01
72,Taylor,Chen,taylor.chen72@example.com,North,2024-02-23
73,Alex,Davis,alex.davis73@example.com,South,2023-02-13
74,Morgan,Johnson,morgan.johnson74@example.com,East,2023-04-12
75,Sam,Lee,sam.lee75@example.com,South,2024-03-27
76,Riley,Smith,riley.smith76@example.com,North,2023-07-26
77,Riley,Kim,riley.kim77@example.com,West,2023-11-10
78,Alex,Patel,alex.patel78@example.com,East,2023-01-01
79,Drew,Smith,drew.smith79@example.com,North,2022-08-11
80,Drew,Brown,drew.brown80@example.com,East,2023-10-05
81,Avery,Lopez,avery.lopez81@example.com,North,2024-02-28
82,Drew,Nguyen,drew.nguyen82@example.com,East,2022-04-01
83,Cameron,Brown,cameron.brown83@example.com,North,2024-11-30
84,Kai,Kim,kai.kim84@example.com,South,2024-01-16
85,Avery,Patel,avery.patel85@example.com,East,2023-10-05
86,Jamie,Patel,jamie.patel86@example.com,East,2024-11-04
87,Casey,Kim,casey.kim87@example.com,West,2023-10-31
88,Avery,Chen,avery.chen88@example.com,East,2022-09-18
89,Sam,Brown,sam.brown89@example.com,West,2022-12-23
90,Drew,Lopez,drew.lopez90@example.com,East,2024-04-11
91,Kai,Lee,kai.lee91@example.com,East,2023-08-11
92,Sam,Brown,sam.brown92@example.com,East,2024-08-10
93,Morgan,Davis,morgan.davis93@example.com,South,2024-11-12
94,Morgan,Chen,morgan.chen94@example.com,South,2022-06-23
95,Casey,Martinez,casey.martinez95@example.com,East,2022-07-11
96,Sam,Kim,sam.kim96@example.com,East,2023-04-06
97,Sam,Garcia,sam.garcia97@example.com,North,2022-04-05
98,Sam,Davis,sam.davis98@example.com,North,2024-07-21
99,Avery,Kim,avery.kim99@example.com,South,2024-02-26
100,Morgan,Brown,morgan.brown100@example.com,South,2022-10-30
101,Jamie,Chen,jamie.chen101@example.com,North,2022-08-07
102,Avery,Nguyen,avery.nguyen102@example.com,South,2024-11-26
103,Morgan,Lee,morgan.lee103@example.com,South,2022-09-06
104,Morgan,Garcia,morgan.garcia104@example.com,West,2024-12-23
105,Kai,Lopez,kai.lopez105@example.com,East,2024-06-25
106,Drew,Chen,drew.chen106@example.com,West,2024-07-02
107,Taylor,Chen,taylor.chen107@example.com,West,2024-07-10
108,Casey,Nguyen,casey.nguyen108@example.com,East,2024-12-03
109,Morgan,Kim,morgan.kim109@example.com,South,2023-07-17
110,Morgan,Patel,morgan.patel110@example.com,East,2023-04-26
111,Casey,Johnson,casey.johnson111@example.com,East,2022-06-15
112,Taylor,Garcia,taylor.garcia112@example.com,South,2024-02-24
113,Cameron,Garcia,cameron.garcia113@example.com,South,2022-05-12
114,Avery,Brown,avery.brown114@example.com,East,2024-08-12
115,Avery,Lee,avery.lee115@example.com,South,2024-05-10
116,Avery,Lopez,avery.lopez116@example.com,North,2024-02-19
117,Morgan,Lee,morgan.lee117@example.com,East,2023-09-04
118,Avery,Brown,avery.brown118@example.com,South,2024-09-26
119,Sam,Smith,sam.smith119@example.com,West,2024-09-21
120,Alex,Brown,alex.brown120@example.com,East,2024-04-08
121,Cameron,Garcia,cameron.garcia121@example.com,West,2022-09-19
122,Drew,Martinez,drew.martinez122@example.com,North,2024-03-17
123,Drew,Lopez,drew.lopez123@example.com,North,2022-06-21
124,Jamie,Brown,jamie.brown124@example.com,South,2024-08-03
125,Taylor,Lee,taylor.lee125@example.com,East,2024-02-16
126,Riley,Nguyen,riley.nguyen126@example.com,West,2023-11-01
127,Riley,Brown,riley.brown127@example.com,East,2024-05-13
128,Casey,Patel,casey.patel128@example.com,West,2022-02-09
129,Cameron,Martinez,cameron.martinez129@example.com,North,2023-12-18
130,Sam,Kim,sam.kim130@example.com,North,2022-03-24
131,Alex,Nguyen,alex.nguyen131@example.com,South,2022-02-11
132,Drew,Garcia,drew.garcia132@example.com,South,2022-09-16
133,Morgan,Kim,morgan.kim133@example.com,North,2023-03-23
134,Morgan,Chen,morgan.chen134@example.com,East,2024-01-26
135,Taylor,Lopez,taylor.lopez135@example.com,North,2022-12-02
136,Casey,Patel,casey.patel136@example.com,North,2023-10-01
137,Drew,Kim,drew.kim137@example.com,West,2024-03-23
138,Cameron,Nguyen,cameron.nguyen138@example.com,North,2023-05-13
139,Jordan,Chen,jordan.chen139@example.com,East,2022-09-05
140,Drew,Lee,drew.lee140@example.com,East,2024-12-27
141,Avery,Kim,avery.kim141@example.com,East,2022-05-22
142,Kai,Kim,kai.kim142@example.com,East,2022-01-26
143,Avery,Davis,avery.davis143@example.com,North,2024-06-06
144,Riley,Kim,riley.kim144@example.com,West,2022-11-10
145,Avery,Garcia,avery.garcia145@example.com,East,2024-09-17
146,Morgan,Brown,morgan.brown146@example.com,East,2023-10-23
147,Sam,Patel,sam.patel147@example.com,East,2024-07-12
148,Sam,Davis,sam.davis148@example.com,West,2023-11-20
149,Alex,Davis,alex.davis149@example.com,East,2023-01-08
150,Morgan,Nguyen,morgan.nguyen150@example.com,East,2023-06-14
151,Riley,Smith,riley.smith151@example.com,East,2022-01-21
152,Kai,Nguyen,kai.nguyen152@example.com,North,2023-05-10
153,Cameron,Brown,cameron.brown153@example.com,West,2023-05-08
154,Cameron,Davis,cameron.davis154@example.com,West,2024-07-06
155,Alex,Patel,alex.patel155@example.com,East,2023-03-30
156,Avery,Chen,avery.chen156@example.com,South,2023-09-20
157,Jamie,Lopez,jamie.lopez157@example.com,East,2024-08-27
158,Kai,Martinez,kai.martinez158@example.com,East,2024-05-21
159,Cameron,Martinez,cameron.martinez159@example.com,East,2023-12-22
160,Cameron,Davis,cameron.davis160@example.com,East,2023-09-20
161,Casey,Nguyen,casey.nguyen161@example.com,North,2023-01-30
162,Riley,Patel,riley.patel162@example.com,South,2023-01-28
163,Sam,Chen,sam.chen163@example.com,West,2023-07-21
164,Cameron,Lopez,cameron.lopez164@example.com,East,2022-07-25
165,Sam,Smith,sam.smith165@example.com,South,2024-01-10
166,Taylor,Smith,taylor.smith166@example.com,North,2024-12-29
167,Taylor,Smith,taylor.smith167@example.com,North,2022-04-22
168,Kai,Smith,kai.smith168@example.com,South,2024-10-02
169,Jordan,Lee,jordan.lee169@example.com,East,2024-08-19
170,Morgan,Davis,morgan.davis170@example.com,East,2023-01-13
171,Alex,Smith,alex.smith171@example.com,West,2022-08-22
172,Jordan,Brown,jordan.brown172@example.com,West,2022-06-01
173,Drew,Kim,drew.kim173@example.com,North,2022-11-07
174,Taylor,Lopez,taylor.lopez174@example.com,East,2022-06-24
175,Sam,Patel,sam.patel175@example.com,West,2023-04-08
176,Kai,Brown,kai.brown176@example.com,West,2024-06-25
177,Casey,Lopez,casey.lopez177@example.com,West,2023-09-18
178,Drew,Lopez,drew.lopez178@example.com,North,2022-07-23
179,Sam,Kim,sam.kim179@example.com,South,2023-06-26
180,Jamie,Patel,jamie.patel180@example.com,South,2023-05-07
181,Taylor,Martinez,taylor.martinez181@example.com,North,2022-11-17
182,Alex,Brown,alex.brown182@example.com,West,2024-08-20
183,Casey,Lee,casey.lee183@example.com,South,2023-08-14
184,Cameron,Smith,cameron.smith184@example.com,West,2022-05-26
185,Jamie,Nguyen,jamie.nguyen185@example.com,East,2023-02-10
186,Avery,Patel,avery.patel186@example.com,South,2022-11-02
187,Casey,Garcia,casey.garcia187@example.com,North,2022-05-03
188,Taylor,Smith,taylor.smith188@example.com,East,2024-06-18
189,Jordan,Davis,jordan.davis189@example.com,East,2024-04-04
190,Casey,Martinez,casey.martinez190@example.com,West,2024-06-15
191,Jordan,Lopez,jordan.lopez191@example.com,North,2024-06-03
192,Cameron,Johnson,cameron.johnson192@example.com,East,2022-02-22
193,Jordan,Nguyen,jordan.nguyen193@example.com,North,2023-07-06
194,Drew,Lee,drew.lee194@example.com,South,2024-08-21
195,Kai,Kim,kai.kim195@example.com,West,2023-07-24
196,Taylor,Lopez,taylor.lopez196@example.com,West,2024-10-04
197,Jordan,Davis,jordan.davis197@example.com,East,2024-04-16
198,Riley,Johnson,riley.johnson198@example.com,North,2022-11-26
199,Riley,Brown,riley.brown199@example.com,West,2023-08-14
200,Jamie,Brown,jamie.brown200@example.com,North,2024-07-20
201,Jordan,Johnson,jordan.johnson201@example.com,East,2023-10-25
202,Jordan,Brown,jordan.brown202@example.com,North,2024-08-04
203,Avery,Lee,avery.lee203@example.com,South,2024-11-27
204,Riley,Lopez,riley.lopez204@example.com,West,2024-06-24
205,Alex,Nguyen,alex.nguyen205@example.com,East,2022-09-26
206,Casey,Davis,casey.davis206@example.com,West,2022-09-06
207,Alex,Kim,alex.kim207@example.com,South,2022-11-21
208,Casey,Martinez,casey.martinez208@example.com,North,2024-04-15
209,Jordan,Nguyen,jordan.nguyen209@example.com,North,2024-08-03
210,Jordan,Kim,jordan.kim210@example.com,South,2024-10-17
211,Cameron,Smith,cameron.smith211@example.com,East,2024-04-30
212,Morgan,Davis,morgan.davis212@example.com,South,2024-07-24
213,Kai,Garcia,kai.garcia213@example.com,West,2023-01-26
214,Drew,Martinez,drew.martinez214@example.com,South,2022-05-23
215,Casey,Brown,casey.brown215@example.com,East,2024-11-05
216,Casey,Lee,casey.lee216@example.com,East,2023-09-04
217,Drew,Lopez,drew.lopez217@example.com,West,2022-11-01
218,Morgan,Martinez,morgan.martinez218@example.com,West,2023-12-08
219,Riley,Martinez,riley.martinez219@example.com,West,2024-07-21
220,Riley,Nguyen,riley.nguyen220@example.com,South,2024-02-24
221,Sam,Brown,sam.brown221@example.com,North,2023-10-14
222,Cameron,Davis,cameron.davis222@example.com,West,2024-03-01
223,Jamie,Kim,jamie.kim223@example.com,South,2024-10-11
224,Alex,Garcia,alex.garcia224@example.com,East,2022-07-25
225,Morgan,Patel,morgan.patel225@example.com,West,2022-02-01
226,Cameron,Garcia,cameron.garcia226@example.com,West,2022-11-13
227,Jordan,Davis,jordan.davis227@example.com,East,2023-11-25
228,Drew,Chen,drew.chen228@example.com,West,2022-06-14
229,Riley,Kim,riley.kim229@example.com,West,2023-10-11
230,Jamie,Chen,jamie.chen230@example.com,West,2022-03-15
231,Drew,Patel,drew.patel231@example.com,South,2023-08-12
232,Sam,Chen,sam.chen232@example.com,North,2024-06-07
233,Jordan,Kim,jordan.kim233@example.com,North,2024-06-27
234,Taylor,Chen,taylor.chen234@example.com,East,2022-03-01
235,Alex,Johnson,alex.johnson235@example.com,North,2023-08-24
236,Riley,Johnson,riley.johnson236@example.com,West,2022-10-26
237,Sam,Martinez,sam.martinez237@example.com,West,2023-01-04
238,Taylor,Garcia,taylor.garcia238@example.com,North,2024-02-23
239,Drew,Kim,drew.kim239@example.com,South,2024-10-16
240,Drew,Garcia,drew.garcia240@example.com,South,2024-08-02
241,Jamie,Smith,jamie.smith241@example.com,West,2023-06-07
242,Jamie,Lee,jamie.lee242@example.com,West,2023-08-13
243,Jamie,Martinez,jamie.martinez243@example.com,South,2022-06-01
244,Morgan,Johnson,morgan.johnson244@example.com,East,2024-05-18
245,Cameron,Smith,cameron.smith245@example.com,West,2023-09-11
246,Sam,Brown,sam.brown246@example.com,West,2022-08-07
247,Sam,Brown,sam.brown247@example.com,East,2023-08-29
248,Cameron,Smith,cameron.smith248@example.com,North,2024-03-21
249,Casey,Lee,casey.lee249@example.com,North,2024-10-14
250,Casey,Nguyen,casey.nguyen250@example.com,East,2023-03-25
251,Jamie,Nguyen,jamie.nguyen251@example.com,East,2022-10-08
252,Jamie,Patel,jamie.patel252@example.com,North,2023-09-25
253,Morgan,Lee,morgan.lee253@example.com,East,2022-09-27
254,Jordan,Smith,jordan.smith254@example.com,East,2024-04-30
255,Taylor,Nguyen,taylor.nguyen255@example.com,South,2024-01-20
256,Kai,Martinez,kai.martinez256@example.com,East,2022-12-03
257,Casey,Davis,casey.davis257@example.com,East,2023-11-25
258,Jordan,Davis,jordan.davis258@example.com,North,2022-10-16
259,Sam,Kim,sam.kim259@example.com,West,2024-01-20
260,Jordan,Brown,jordan.brown260@example.com,North,2023-06-26
261,Kai,Patel,kai.patel261@example.com,West,2024-01-25
262,Jamie,Chen,jamie.chen262@example.com,East,2024-02-20
263,Jamie,Johnson,jamie.johnson263@example.com,North,2023-04-24
264,Morgan,Lee,morgan.lee264@example.com,East,2023-03-30
265,Jamie,Patel,jamie.patel265@example.com,West,2023-09-11
266,Jamie,Brown,jamie.brown266@example.com,North,2022-10-14
267,Alex,Lee,alex.lee267@example.com,East,2024-10-05
268,Jordan,Patel,jordan.patel268@example.com,South,2022-10-05
269,Avery,Davis,avery.davis269@example.com,East,2024-05-08
270,Drew,Chen,drew.chen270@example.com,South,2024-04-29
271,Jamie,Patel,jamie.patel271@example.com,West,2024-04-15
272,Casey,Lee,casey.lee272@example.com,East,2023-03-21
273,Morgan,Davis,morgan.davis273@example.com,South,2024-01-13
274,Jordan,Kim,jordan.kim274@example.com,East,2024-01-05
275,Alex,Brown,alex.brown275@example.com,East,2023-01-24
276,Jordan,Davis,jordan.davis276@example.com,North,2023-03-11
277,Jamie,Kim,jamie.kim277@example.com,North,2022-04-14
278,Riley,Nguyen,riley.nguyen278@example.com,South,2023-02-25
279,Jordan,Martinez,jordan.martinez279@example.com,South,2023-03-19
280,Sam,Johnson,sam.johnson280@example.com,South,2022-01-06
281,Casey,Garcia,casey.garcia281@example.com,South,2023-05-29
282,Taylor,Patel,taylor.patel282@example.com,North,2022-09-27
283,Alex,Johnson,alex.johnson283@example.com,South,2023-10-26
284,Alex,Garcia,alex.garcia284@example.com,East,2022-04-18
285,Taylor,Chen,taylor.chen285@example.com,West,2024-12-13
286,Jordan,Chen,jordan.chen286@example.com,North,2024-09-02
287,Morgan,Johnson,morgan.johnson287@example.com,North,2024-07-14
288,Kai,Nguyen,kai.nguyen288@example.com,North,2024-12-03
289,Casey,Davis,casey.davis289@example.com,North,2022-05-05
290,Morgan,Brown,morgan.brown290@example.com,West,2022-08-10
291,Morgan,Chen,morgan.chen291@example.com,West,2022-05-31
292,Jordan,Johnson,jordan.johnson292@example.com,South,2022-05-15
293,Taylor,Smith,taylor.smith293@example.com,East,2024-02-20
294,Drew,Martinez,drew.martinez294@example.com,East,2024-07-18
295,Kai,Lopez,kai.lopez295@example.com,West,2022-07-23
296,Cameron,Patel,cameron.patel296@example.com,South,2024-05-30
297,Morgan,Nguyen,morgan.nguyen297@example.com,West,2023-11-26
298,Morgan,Brown,morgan.brown298@example.com,West,2022-07-14
299,Riley,Brown,riley.brown299@example.com,East,2023-06-07
300,Riley,Garcia,riley.garcia300@example.com,West,2022-05-18
301,Jordan,Patel,jordan.patel301@example.com,North,2024-06-03
302,Jordan,Chen,jordan.chen302@example.com,East,2022-09-24
303,Kai,Lee,kai.lee303@example.com,East,2022-09-08
304,Avery,Johnson,avery.johnson304@example.com,West,2022-04-16
305,Casey,Lopez,casey.lopez305@example.com,East,2023-12-22
306,Jordan,Lopez,jordan.lopez306@example.com,South,2022-11-13
307,Jamie,Davis,jamie.davis307@example.com,South,2022-08-10
308,Riley,Martinez,riley.martinez308@example.com,East,2022-08-24
309,Casey,Lopez,casey.lopez309@example.com,South,2024-05-28
310,Kai,Lopez,kai.lopez310@example.com,North,2023-07-02
311,Alex,Garcia,alex.garcia311@example.com,East,2023-09-25
312,Riley,Johnson,riley.johnson312@example.com,North,2023-01-07
313,Taylor,Lopez,taylor.lopez313@example.com,West,2022-05-23
314,Taylor,Chen,taylor.chen314@example.com,North,2022-07-07
315,Cameron,Martinez,cameron.martinez315@example.com,South,2024-02-10
316,Avery,Davis,avery.davis316@example.com,East,2022-11-19
317,Riley,Smith,riley.smith317@example.com,East,2022-06-23
318,Alex,Garcia,alex.garcia318@example.com,South,2022-04-12
319,Jamie,Patel,jamie.patel319@example.com,East,2024-06-26
320,Jamie,Brown,jamie.brown320@example.com,West,2024-06-24
321,Avery,Smith,avery.smith321@example.com,South,2024-11-15
322,Jordan,Johnson,jordan.johnson322@example.com,West,2022-08-16
323,Casey,Kim,casey.kim323@example.com,West,2024-12-15
324,Jamie,Smith,jamie.smith324@example.com,North,2023-03-28
325,Avery,Lopez,avery.lopez325@example.com,North,2022-01-16
326,Sam,Smith,sam.smith326@example.com,South,2022-10-09
327,Casey,Smith,casey.smith327@example.com,East,2022-09-03
328,Alex,Davis,alex.davis328@example.com,West,2022-12-26
329,Taylor,Brown,taylor.brown329@example.com,South,2024-10-21
330,Kai,Kim,kai.kim330@example.com,East,2022-05-28
331,Avery,Chen,avery.chen331@example.com,North,2024-06-12
332,Alex,Davis,alex.davis332@example.com,North,2023-10-04
333,Drew,Brown,drew.brown333@example.com,West,2024-05-05
334,Casey,Patel,casey.patel334@example.com,West,2022-02-12
335,Riley,Garcia,riley.garcia335@example.com,West,2024-01-12
336,Jordan,Brown,jordan.brown336@example.com,North,2023-05-14
337,Avery,Lopez,avery.lopez337@example.com,West,2024-12-09
338,Jordan,Brown,jordan.brown338@example.com,East,2023-11-27
339,Sam,Johnson,sam.johnson339@example.com,South,2022-06-06
340,Kai,Kim,kai.kim340@example.com,North,2024-12-22
341,Kai,Nguyen,kai.nguyen341@example.com,East,2023-12-21
342,Cameron,Kim,cameron.kim342@example.com,South,2023-04-29
343,Jordan,Garcia,jordan.garcia343@example.com,East,2023-02-09
344,Taylor,Lopez,taylor.lopez344@example.com,South,2022-06-04
345,Taylor,Kim,taylor.kim345@example.com,West,2024-08-08
346,Drew,Lopez,drew.lopez346@example.com,West,2023-10-24
347,Jamie,Johnson,jamie.johnson347@example.com,South,2024-06-19
348,Jordan,Davis,jordan.davis348@example.com,West,2023-09-13
349,Casey,Lopez,casey.lopez349@example.com,North,2023-12-22
350,Kai,Patel,kai.patel350@example.com,East,2024-08-03
351,Morgan,Lee,morgan.lee351@example.com,North,2024-01-26
352,Casey,Patel,casey.patel352@example.com,North,2024-11-04
353,Avery,Davis,avery.davis353@example.com,North,2024-07-10
354,Drew,Kim,drew.kim354@example.com,South,2023-10-21
355,Drew,Davis,drew.davis355@example.com,South,2022-05-07
356,Morgan,Patel,morgan.patel356@example.com,East,2022-06-22
357,Kai,Kim,kai.kim357@example.com,South,2022-03-22
358,Sam,Chen,sam.chen358@example.com,West,2024-06-18
359,Kai,Martinez,kai.martinez359@example.com,South,2024-01-16
360,Riley,Smith,riley.smith360@example.com,West,2024-04-17
361,Riley,Kim,riley.kim361@example.com,North,2023-11-17
362,Jordan,Johnson,jordan.johnson362@example.com,North,2024-03-02
363,Casey,Smith,casey.smith363@example.com,South,2023-11-14
364,Jordan,Lopez,jordan.lopez364@example.com,South,2023-12-18
365,Casey,Kim,casey.kim365@example.com,West,2022-09-22
366,Drew,Chen,drew.chen366@example.com,North,2023-09-27
367,Kai,Brown,kai.brown367@example.com,East,2022-09-19
368,Jamie,Chen,jamie.chen368@example.com,North,2024-05-17
369,Kai,Johnson,kai.johnson369@example.com,North,2024-01-13
370,Casey,Garcia,casey.garcia370@example.com,South,2023-12-01
371,Morgan,Nguyen,morgan.nguyen371@example.com,South,2022-10-09
372,Taylor,Patel,taylor.patel372@example.com,East,2022-07-27
373,Kai,Martinez,kai.martinez373@example.com,North,2023-11-21
374,Drew,Garcia,drew.garcia374@example.com,West,2022-11-12
375,Taylor,Garcia,taylor.garcia375@example.com,South,2024-06-15
376,Alex,Brown,alex.brown376@example.com,East,2023-05-02
377,Morgan,Lopez,morgan.lopez377@example.com,East,2024-07-08
378,Sam,Martinez,sam.martinez378@example.com,South,2023-09-26
379,Morgan,Nguyen,morgan.nguyen379@example.com,East,2024-06-21
380,Morgan,Smith,morgan.smith380@example.com,West,2024-10-26
381,Kai,Brown,kai.brown381@example.com,South,2023-02-13
382,Drew,Garcia,drew.garcia382@example.com,East,2022-04-17
383,Jamie,Davis,jamie.davis383@example.com,East,2022-07-30
384,Cameron,Martinez,cameron.martinez384@example.com,North,2023-08-07
385,Jordan,Garcia,jordan.garcia385@example.com,East,2024-07-09
386,Kai,Garcia,kai.garcia386@example.com,West,2022-07-07
387,Sam,Davis,sam.davis387@example.com,East,2022-02-24
388,Avery,Lee,avery.lee388@example.com,West,2024-10-25
389,Riley,Nguyen,riley.nguyen389@example.com,West,2022-06-17
390,Riley,Nguyen,riley.nguyen390@example.com,North,2023-10-15
391,Jordan,Chen,jordan.chen391@example.com,East,2022-10-27
392,Taylor,Lee,taylor.lee392@example.com,East,2024-08-25
393,Cameron,Garcia,cameron.garcia393@example.com,West,2024-07-07
394,Drew,Lee,drew.lee394@example.com,North,2022-02-08
395,Casey,Nguyen,casey.nguyen395@example.com,South,2024-12-16
396,Avery,Patel,avery.patel396@example.com,East,2023-05-02
397,Casey,Patel,casey.patel397@example.com,North,2023-05-04
398,Avery,Kim,avery.kim398@example.com,West,2022-05-09
399,Jordan,Davis,jordan.davis399@example.com,North,2024-11-21
400,Drew,Nguyen,drew.nguyen400@example.com,South,2023-08-20
401,Avery,Lee,avery.lee401@example.com,East,2023-05-08
402,Drew,Brown,drew.brown402@example.com,South,2022-06-25
403,Kai,Johnson,kai.johnson403@example.com,North,2024-12-13
404,Kai,Martinez,kai.martinez404@example.com,North,2024-03-10
405,Morgan,Lee,morgan.lee405@example.com,West,2024-02-04
406,Casey,Chen,casey.chen406@example.com,North,2024-01-02
407,Jordan,Johnson,jordan.johnson407@example.com,South,2022-08-01
408,Drew,Chen,drew.chen408@example.com,East,2022-10-01
409,Alex,Johnson,alex.johnson409@example.com,East,2022-12-25
410,Jamie,Davis,jamie.davis410@example.com,West,2023-01-09
411,Taylor,Patel,taylor.patel411@example.com,West,2022-03-17
412,Casey,Nguyen,casey.nguyen412@example.com,North,2023-02-13
413,Alex,Johnson,alex.johnson413@example.com,East,2024-11-21
414,Avery,Martinez,avery.martinez414@example.com,West,2023-06-03
415,Alex,Kim,alex.kim415@example.com,South,2023-08-09
416,Riley,Lee,riley.lee416@example.com,East,2023-07-14
417,Jordan,Johnson,jordan.johnson417@example.com,West,2024-03-30
418,Cameron,Davis,cameron.davis418@example.com,West,2023-11-26
419,Taylor,Davis,taylor.davis419@example.com,West,2024-01-23
420,Kai,Smith,kai.smith420@example.com,North,2024-05-19
421,Jordan,Brown,jordan.brown421@example.com,South,2023-08-25
422,Riley,Patel,riley.patel422@example.com,North,2023-11-03
423,Jamie,Smith,jamie.smith423@example.com,East,2024-07-02
424,Drew,Chen,drew.chen424@example.com,West,2022-12-08
425,Cameron,Davis,cameron.davis425@example.com,East,2024-07-04
426,Alex,Chen,alex.chen426@example.com,East,2024-06-09
427,Casey,Kim,casey.kim427@example.com,North,2022-06-03
428,Jamie,Kim,jamie.kim428@example.com,West,2024-01-15
429,Kai,Chen,kai.chen429@example.com,South,2022-03-05
430,Taylor,Lopez,taylor.lopez430@example.com,West,2022-03-13
431,Taylor,Patel,taylor.patel431@example.com,South,2024-01-21
432,Riley,Brown,riley.brown432@example.com,North,2022-11-11
433,Jamie,Davis,jamie.davis433@example.com,East,2024-02-01
434,Morgan,Patel,morgan.patel434@example.com,South,2024-12-20
435,Riley,Brown,riley.brown435@example.com,East,2023-07-25
436,Sam,Patel,sam.patel436@example.com,North,2023-01-17
437,Morgan,Martinez,morgan.martinez437@example.com,West,2022-08-30
438,Casey,Smith,casey.smith438@example.com,West,2023-03-16
439,Drew,Smith,drew.smith439@example.com,West,2023-02-14
